"citation.ID","n_potential_records","n_variables","variables_represented","sites_represented","n_pot_dup_sites","forestGEO_sites","GROA_study","tropical","prioritized_variable","review_priority_score","ready_to_rerun_and_send","notes"
"Carmona_2002_cwdb",8,2,"deadwood_down, deadwood_standing",1,0,0,8,0,0,12,NA,""
"Deng_2000_boch",5,5,"biomass, biomass_ag, biomass_ag_woody, biomass_ag_foliage, biomass_root",1,0,0,0,5,2,12,NA,""
"Grunzweig_2015_scic",8,2,"biomass_ag, soil",1,0,0,0,0,4,12,NA,""
"Kajimoto_1999_aabb",10,10,"biomass_ag_woody, biomass_ag_foliage, biomass_ag, biomass_root_coarse, biomass_root_fine, biomass_root, ANPP_woody_stem, BNPP_root_coarse, BNPP_root_fine, BNPP_root",1,0,0,0,0,2,12,NA,""
"Kim_2004_eosd",8,2,"biomass_ag, soil",1,0,0,0,0,4,12,NA,""
"Kinerson_1977_ccia",5,5,"BNPP_root, BNPP_root.turnover_fine, biomass, biomass_ag, biomass_root",1,0,0,0,5,2,12,NA,""
"Mialet-Serra_2005_asiv",5,5,"biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass, biomass_root",1,0,0,0,5,2,12,NA,""
"Navarro_2007_fcdd",6,6,"ANPP_woody_stem, ANPP_woody_branch, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root",1,0,0,0,6,0,12,NA,NA
"Nye_1998_ntfk",5,5,"biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass, biomass_root",1,0,0,0,5,2,12,NA,""
"O'Connell_2003_nepo",12,6,"BNPP_root, BNPP_root_fine, BNPP_root.turnover_fine, biomass, biomass_root_coarse, biomass_root_fine",2,0,0,0,0,0,12,NA,""
"Powell_2006_econ",5,5,"biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass, biomass_root",1,0,0,0,5,2,12,NA,""
"Roupsard_2006_poea",6,6,"ANPP_woody_stem, ANPP_woody_branch, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root",1,0,0,0,6,0,12,NA,""
"Salomao_1994_edbe",4,1,"biomass_ag",1,0,0,0,4,4,12,NA,""
"Sampson_2007_bros",6,1,"biomass_ag",1,0,0,0,0,6,12,NA,""
"Schuur_2001_ccas",6,1,"ANPP_woody_stem",6,0,0,0,6,0,12,NA,NA
"Schuur_2005_ntfm",6,1,"BNPP_root",6,0,0,0,6,0,12,NA,NA
"Taylor_2017_tari",21,1,"ANPP_woody_stem",20,3,0,0,21,0,12,NA,NA
